City,Fuel Type Code,State,EV Total Port Count (Beta)
bradenton beach,ELEC,FL,5.0
bradford,ELEC,NH,10.0
bradley,ELEC,IL,9.0
brady,ELEC,TX,1.0
brainerd,ELEC,MN,8.0
braintree,ELEC,MA,35.0
branchburg,ELEC,NJ,19.0
branchport,ELEC,NY,5.0
brandon,ELEC,MS,29.0
brandywine,ELEC,DE,20.0
branford,ELEC,CT,33.0
branson,ELEC,MO,46.0
brantley,ELEC,AL,2.0
braselton,ELEC,GA,25.0
brattleboro,ELEC,VT,44.0
brawley,ELEC,CA,3.0
brazoria,ELEC,TX,4.0
brea,ELEC,CA,165.0
breaux bridge,ELEC,LA,6.0
breckenridge,ELEC,CO,100.0
breese,ELEC,IL,1.0
breezewood,ELEC,PA,28.0
breinigsville,ELEC,PA,4.0
bremen,ELEC,GA,5.0
bremerton,ELEC,WA,50.0
brenham,ELEC,TX,8.0
brentwood,ELEC,MO,165.0
bretton woods,ELEC,NH,6.0
brevard,ELEC,NC,7.0
brewer,ELEC,ME,11.0
brewster,ELEC,NY,15.0
brewton,ELEC,AL,1.0
brian head,ELEC,UT,2.0
brick,ELEC,NJ,5.0
bridgehampton,ELEC,NY,6.0
bridgeport,ELEC,CT,55.0
bridgeton,ELEC,NJ,2.0
bridgeview,ELEC,IL,2.0
bridgeville,ELEC,PA,11.0
bridgewater,ELEC,NJ,66.0
bridgewater township,ELEC,NJ,6.0
bridgman,ELEC,MI,1.0
bridgton,ELEC,ME,4.0
brigantine,ELEC,NJ,4.0
brigham city,ELEC,UT,10.0
brighton,ELEC,CO,64.0
brimley,ELEC,MI,1.0
brinkley,ELEC,AR,8.0
brisbane,ELEC,CA,107.0
bristol,ELEC,TN,81.0
bristow,ELEC,OK,8.0
broad run,ELEC,VA,2.0
broadview,ELEC,IL,2.0
broadview heights,ELEC,OH,17.0
broadway denver,ELEC,CO,7.0
brockport,ELEC,NY,20.0
brockton,ELEC,MA,45.0
broken arrow,ELEC,OK,42.0
broken bow,ELEC,NE,2.0
bronson,ELEC,FL,4.0
bronx,ELEC,NY,102.0
bronxville,ELEC,NY,8.0
brook park,ELEC,OH,6.0
brookfield,ELEC,WI,25.0
brookhaven,ELEC,MS,21.0
brookings,ELEC,OR,8.0
brooklin,ELEC,ME,2.0
brookline,ELEC,MA,16.0
brooklyn,ELEC,NY,490.0
brooklyn center,ELEC,MN,2.0
brooklyn park,ELEC,MN,32.0
brooks,ELEC,CA,9.0
brookshire,ELEC,TX,15.0
brooksville,ELEC,FL,28.0
brooktondale,ELEC,NY,2.0
broomfield,ELEC,CO,132.0
broussard,ELEC,LA,2.0
brown deer,ELEC,WI,1.0
browning,ELEC,MT,5.0
brownstown,ELEC,IN,2.0
brownsville,ELEC,TX,25.0
browntown,ELEC,WI,2.0
brownville,ELEC,NE,2.0
bruceton mills,ELEC,WV,3.0
brunswick,ELEC,GA,85.0
brush,ELEC,CO,10.0
bryan,ELEC,TX,18.0
bryant,ELEC,AL,2.0
bryn mawr,ELEC,PA,6.0
bryson city,ELEC,NC,4.0
buchanan,ELEC,MI,1.0
buckeye,ELEC,AZ,20.0
buckfield,ELEC,ME,1.0
buckhannon,ELEC,WV,4.0
bucksport,ELEC,ME,3.0
bucyrus,ELEC,OH,3.0
buda,ELEC,TX,4.0
budd lake,ELEC,NJ,1.0
buellton,ELEC,CA,12.0
buena park,ELEC,CA,64.0
buena ventura lakes,ELEC,FL,2.0
buena vista,ELEC,CO,7.0
buffalo,ELEC,NY,386.0
buffalo grove,ELEC,IL,30.0
buford,ELEC,GA,90.0
bunker hill,ELEC,IN,1.0
burbank,ELEC,CA,262.0
burdett,ELEC,NY,2.0
burdette,ELEC,NY,2.0
burgaw,ELEC,NC,4.0
burien,ELEC,WA,23.0
burkburnett,ELEC,TX,2.0
burke,ELEC,VA,6.0
burleson,ELEC,TX,18.0
burley,ELEC,ID,12.0
burlingame,ELEC,CA,140.0
burlington,ELEC,NC,277.0
burney,ELEC,CA,8.0
burns,ELEC,OR,4.0
burns harbor,ELEC,IN,3.0
burnsville,ELEC,MN,29.0
burnt hills,ELEC,NY,4.0
burr ridge,ELEC,IL,18.0
burrillville,ELEC,RI,10.0
burton,ELEC,OH,4.0
burtonsville,ELEC,MD,4.0
bushkill,ELEC,PA,3.0
bushnell,ELEC,FL,4.0
butler,ELEC,NJ,9.0
butner,ELEC,NC,3.0
butte,ELEC,MT,10.0
buttonwillow,ELEC,CA,31.0
buxton,ELEC,NC,7.0
buzzards bay,ELEC,MA,5.0
bwi airport,ELEC,MD,4.0
byers,ELEC,CO,2.0
byhalia,ELEC,MS,3.0
byrdstown,ELEC,TN,2.0
byron,ELEC,CA,9.0
byron center,ELEC,MI,10.0
caballo,ELEC,NM,2.0
cabazon,ELEC,CA,59.0
cabins,ELEC,WV,2.0
cable,ELEC,WI,2.0
cabot,ELEC,AR,12.0
cadillac,ELEC,MI,19.0
caguas,ELEC,PR,1.0
calabasas,ELEC,CA,55.0
calabash,ELEC,NC,1.0
calais,ELEC,ME,4.0
caldwell,ELEC,ID,8.0
caledonia,ELEC,MI,3.0
calera,ELEC,AL,18.0
calexico,ELEC,CA,1.0
calhoun,ELEC,GA,6.0
california,ELEC,MD,23.0
california city,ELEC,CA,4.0
calimesa,ELEC,CA,22.0
calistoga,ELEC,CA,42.0
callahan,ELEC,FL,2.0
callicoon,ELEC,NY,2.0
calmar,ELEC,IA,2.0
calumet,ELEC,OK,17.0
calumet city,ELEC,IL,1.0
calverton,ELEC,NY,1.0
camano,ELEC,WA,4.0
camarillo,ELEC,CA,94.0
camas,ELEC,WA,15.0
cambria,ELEC,CA,15.0
cambridge,ELEC,MA,556.0
cambridge springs,ELEC,PA,2.0
camden,ELEC,ME,31.0
cameron,ELEC,MO,8.0
cameron park,ELEC,CA,14.0
camilla,ELEC,GA,2.0
camp hill,ELEC,PA,14.0
camp murray,ELEC,WA,2.0
camp pendleton,ELEC,CA,44.0
camp springs,ELEC,MD,6.0
camp verde,ELEC,AZ,1.0
