City,Fuel Type Code,State_evchargers,EV Total Port Count (Beta),State_file1,Median Income (16 and over),State,Total Population
Blue bell,ELEC,PA,12.0,,,,
Blue earth,ELEC,MN,7.0,,,,
Blue eye,ELEC,MO,10.0,,,,
Blue hill,ELEC,ME,13.0,,,,
Blue jay,ELEC,CA,1.0,,,,
Blue lake,ELEC,CA,15.0,,,,
Blue point,ELEC,NY,2.0,,,,
Blue ridge,ELEC,GA,5.0,,,,
Blue springs,ELEC,MO,36.0,,,,
Bluefield,ELEC,WV,4.0,,,,
Bluemont,ELEC,VA,2.0,,,,
Bluff,ELEC,UT,6.0,,,,
Bluffdale,ELEC,UT,2.0,,,,
Bluffton,ELEC,SC,14.0,,,,
Blythe,ELEC,CA,18.0,,,,
Blytheville,ELEC,AR,2.0,,,,
Blythewood,ELEC,SC,6.0,,,,
Boardman,ELEC,OH,16.0,,,,
Boaz,ELEC,AL,5.0,,,,
Boca raton,ELEC,FL,247.0,Florida,54672.0,Florida,98997.0
Bock,ELEC,MN,1.0,,,,
Bodega bay,ELEC,CA,5.0,,,,
Boerne,ELEC,TX,8.0,,,,
Bohemia,ELEC,NY,2.0,,,,
Boiling spring,ELEC,PA,2.0,,,,
Boiling springs,ELEC,SC,1.0,,,,
Boise,ELEC,ID,165.0,Idaho,45196.0,Idaho,236632.0
Boligee,ELEC,AL,2.0,,,,
Bolingbrook,ELEC,IL,55.0,,,,
Bolivar,ELEC,MO,8.0,,,,
Bolton,ELEC,NY,14.0,,,,
Bolton landing,ELEC,NY,4.0,,,,
Bondurant,ELEC,IA,1.0,,,,
Bonita springs,ELEC,FL,10.0,,,,
Bonners ferry,ELEC,ID,5.0,,,,
Bonney lake,ELEC,WA,2.0,,,,
Boone,ELEC,NC,61.0,,,,
Boonsboro,ELEC,MD,2.0,,,,
Boonton,ELEC,NJ,11.0,,,,
Boonville,ELEC,MO,5.0,,,,
Boothbay,ELEC,ME,4.0,,,,
Boothbay harbor,ELEC,ME,3.0,,,,
Boothwyn,ELEC,PA,8.0,,,,
Borden,ELEC,IN,2.0,,,,
Bordentown,ELEC,NJ,2.0,,,,
Boron,ELEC,CA,4.0,,,,
Borough park,ELEC,NY,20.0,,,,
Borrego springs,ELEC,CA,4.0,,,,
Bossier city,ELEC,LA,7.0,,,,
Boston,ELEC,MA,1114.0,Massachusetts,60102.0,Massachusetts,649768.0
Boswell,ELEC,PA,1.0,,,,
Bothell,ELEC,WA,68.0,,,,
Bottineau,ELEC,ND,2.0,,,,
